x,z,cp
1.4191114889064281e-05,-1.8306998459535297,0.757479
6.397508009628354e-05,-1.8301552139766988,0.717728
6.397508009628354e-05,-1.8301552139766988,0.717728
0.000152113409867657,-1.829610581999867,0.674377
0.0002812142009949892,-1.8290275956584696,0.625102
0.00046002224860032477,-1.828398584079594,0.567519
0.0007038792985079585,-1.8277235472632398,0.500393
0.0010128620594483842,-1.8269948143364934,0.421918
0.001409599606515792,-1.8262277270451812,0.335368
0.00190130256024686,-1.8254146145163908,0.251008
0.0025033126664672518,-1.8245708184959473,0.169553
0.003207959052266869,-1.8236809972380257,0.0803788
0.0040303533372826016,-1.8227681633613642,-0.0149734
0.0049924342180464815,-1.8218246459930503,-0.0945335
0.006094585238202776,-1.8208581160059976,-0.163131
0.007337420067587273,-1.8198609025272916,-0.242576
0.00873497640362769,-1.81884834730276,-0.310762
0.010310420282524846,-1.8178127794594887,-0.36041
0.012057001336112766,-1.8167541989974785,-0.416911
0.013996658260924829,-1.8156726059167285,-0.465555
0.016144809511514455,-1.814568000217239,-0.497912
0.01851012317427456,-1.8134403818990104,-0.534607
0.021114537945737144,-1.8122974218349555,-0.561969
0.023974009241560915,-1.8111237782792484,-0.578994
0.027104339059947684,-1.8099271221048017,-0.5991
0.030520102059430447,-1.8087151241845287,-0.611947
0.034253055653871045,-1.80746477189969,-0.622693
0.03831792791926214,-1.8061914069961125,-0.631753
0.04274601601708944,-1.8048796877279685,-0.6381
0.04756010243990539,-1.8035372849681726,-0.645713
0.0527911775142792,-1.8021718695896374,-0.652729
0.05845450627730605,-1.8007680998465365,-0.66056
0.06459611396646561,-1.799333646611783,-0.668686
0.07123878307431172,-1.7978685098853773,-0.676581
0.07841312038376524,-1.7963803605402318,-0.684561
0.08615717342447649,-1.794861527703434,-0.692118
0.09449395481518391,-1.793319682247897,-0.699723
0.10346895283226334,-1.7917624950465336,-0.707356
0.11309735580408216,-1.7901899660993443,-0.714642
0.12343232287992899,-1.7886174371521546,-0.722314
0.1344886588445242,-1.787037237332052,-0.73014
0.14628891606423558,-1.785464708384862,-0.738677
0.15887842939797658,-1.783915192056412,-0.748358
0.1722639492139118,-1.782388688346701,-0.758194
0.18647523849894568,-1.7808928681286433,-0.766694
0.20151153016578421,-1.7794507440209764,-0.773754
0.21739506974587872,-1.7780623160237015,-0.780301
0.2341246298995589,-1.7767505967555581,-0.78676
0.2516992134133502,-1.7755232570894592,-0.793466
0.27009481045503136,-1.7743956387712305,-0.800055
0.2893025228120262,-1.7733754126737853,-0.805782
0.30928315232374587,-1.7724779205429506,-0.810862
0.33001222890559856,-1.7717338458703782,-0.815911
0.35142685139969626,-1.7711355177831545,-0.820424
0.37347969052016666,-1.770721290645846,-0.823708
0.39610071119731166,-1.7704834935855391,-0.825963
0.4192201084876217,-1.7704451392209737,-0.828824
0.44275219874065763,-1.7706138984250623,-0.811712
0.4666186623439767,-1.7710204546894577,-0.753789
0.4907103427760252,-1.7716724788870728,-0.703977
0.5149337320959916,-1.7725929836366474,-0.698924
0.5391951689456063,-1.77380498155692,-0.693203
0.5633785930176951,-1.7753238143937182,-0.656544
0.5873919538373014,-1.7771341404012144,-0.605111
0.6111218759027656,-1.779228288706496,-0.555513
0.6344871246699422,-1.781552563199171,-0.508126
0.6574528743758018,-1.7840762803875878,-0.462449
0.67986877591125,-1.7867610859071794,-0.419593
0.7017376674992637,-1.789553283647555,-0.378958
0.7229849882551275,-1.7924528736087146,-0.33975
0.7434595452737224,-1.7954215014260921,-0.301498
0.7632404252547842,-1.7984131418622091,-0.26429
0.7821763585844664,-1.801435465789978,-0.228553
0.8003458182926702,-1.8044347770990077,-0.194248
0.8176739366597622,-1.8073957340434719,-0.161339
0.8342389565894561,-1.8103029948775446,-0.12984
0.8498889180893449,-1.813141217855399,-0.0996888
0.8647015271020378,-1.815902732104122,-0.0708148
0.8786775507148253,-1.8185645250049742,-0.0429443
0.8918944647441309,-1.8211419383037828,-0.0165204
0.904278245266343,-1.8235736050172417,0.0100587
0.9159947365538419,-1.825713778560002,0.027161
0.9269520415491296,-1.8277619016278055,0.0411258
0.9371500835434772,-1.8297026324748245,0.0585542
0.9464384367190574,-1.8315129584823209,0.0739492
0.9550463834672439,-1.8332005505232072,0.0889125
0.9628964479716148,-1.8347807503433098,0.102653
0.970064495165279,-1.8362458870697156,0.115508
