USkin thickness,LSkin thickness,FSpar thickness,RSpar thickness
0.0236872279573934,0.0234259782203688,0.00410191078540873,0.00351992368954429
0.0223086794504557,0.0224165635838043,0.00441995430783801,0.00472245035099477
0.0240231781234481,0.0267418966761583,0.00471301949068298,0.00812742859046367
0.028676802171522,0.0277898750272706,0.00509725892712584,0.00570156282257
0.0263933485720657,0.0273817991100166,0.00516430644677594,0.00415762140085235
0.0250063789874061,0.0259427568716552,0.00490478545202961,0.00406680029719106
0.024194036960471,0.0243295852404715,0.00497149734262774,0.00414537078554921
0.0231886400965965,0.0222682525678064,0.00527184272989502,0.00421292133410438
0.0220608366973025,0.0201160275577607,0.0055474258966956,0.00421885574543117
0.0208245795708538,0.01804050761141,0.00552451388770976,0.00416159229244757
0.0194970085710835,0.0160796535579346,0.00521230077936383,0.00407646040301262
0.0180896364317393,0.0141513303581555,0.00503397151623446,0.00393651575860275
0.016598658746879,0.0122238360707876,0.00451238747143419,0.00380133466664864
0.0151268951659523,0.0104206416329504,0.00426087860991714,0.00361978211189983
0.0137282006862756,0.00853982858108107,0.0040474569560299,0.00341476664222907
0.0123391275580883,0.00680290893234236,0.0036135919192387,0.00320556303077486
0.0109032758178723,0.00523010216910324,0.00329370131886383,0.00301792026625941
0.00940241939881604,0.00400554299726854,0.00299626433655447,0.00282558132736785
0.00781442192058429,0.00334026827994403,0.00277449557861384,0.00258209992814608
0.00637690580376754,0.00228751592514328,0.00246166758198081,0.00230670942884263
0.00488822270286067,0.00176769444780858,0.0021194560021939,0.00194758218123683
0.00333703440625697,0.00172790497777289,0.00166683982124812,0.00147209259668141
