x,z,cp
0.0,0.0,0.576657
3.988942650820495e-06,0.00045793061633153664,0.516147
3.988942650820495e-06,0.00045793061633153664,0.516147
3.5900483858801616e-05,0.0009166590211932557,0.454606
9.972356627405527e-05,0.0014061022844674698,0.388227
0.00020343607519963963,0.001939025022637264,0.313483
0.0003510269532853123,0.002516225024232821,0.229236
0.0005544630284849519,0.0031388989720494975,0.132507
0.0008217221861001995,0.003806249077557,0.025022
0.0011727491393855119,0.004514685292369536,-0.0769051
0.0016115328309924178,0.0052626120394267395,-0.165842
0.0021500400888737337,0.006051226001523802,-0.256437
0.0027842819703779295,0.0068805271786607225,-0.362825
0.003542181074062521,0.007741341002740376,-0.459506
0.0044277263425783284,0.008632071896702342,-0.52578
0.005444906718576173,0.009557905485992835,-0.591668
0.006597711144706873,0.01051804398208167,-0.673805
0.007918051162178412,0.011502116134076312,-0.73147
0.009401937828339613,0.012516903144483449,-0.766696
0.011057349028492829,0.013567989533014468,-0.821018
0.012912207361194862,0.014643009577451294,-0.865966
0.014970501769096181,0.01575034005736098,-0.886971
0.017248188022800776,0.01689436880965961,-0.91512
0.019769199778214633,0.018065522371984888,-0.937991
0.022545503863290923,0.019276964255084905,-0.950756
0.02560103393393492,0.020524705516308805,-0.963774
0.02895174576075097,0.02180994283845178,-0.969758
0.03262157299964506,0.02314025521255081,-0.973816
0.03663843824917329,0.02450926033036427,-0.974622
0.041026275165241995,0.025928127231314768,-0.971806
0.04580901740375681,0.02739206918422138,-0.967134
0.05102256544857654,0.028908665180120696,-0.960148
0.05669085295560716,0.03047432517062698,-0.95221
0.06284579146605596,0.03209303809839126,-0.943646
0.06952727040643325,0.03376041612649738,-0.935062
0.07676321237529549,0.03547805483200567,-0.926793
0.08459350679915266,0.03724236416653037,-0.919203
0.09305006521921239,0.03905334413007144,-0.912098
0.10216878811933312,0.040907404674242975,-0.906428
0.11198158704072318,0.042799759067863874,-0.901573
0.12253234035254268,0.044725221685487815,-0.89695
0.13384498171069795,0.046680202478729005,-0.892533
0.14595541159904743,0.048659515822141064,-0.888317
0.1588875636734971,0.05065717830174754,-0.884468
0.1726733494752546,0.05266481313798155,-0.881191
0.1873287247749239,0.05467324576274568,-0.878291
0.20286964534310903,0.056671706030882396,-0.874381
0.2193040890651116,0.05864703043164349,-0.865129
0.2366400338262336,0.0605908421854619,-0.847361
0.25486950174117345,0.06249356782997534,-0.824801
0.27397653703932706,0.0643460327970865,-0.804755
0.29394119500743937,0.06613826473016798,-0.791415
0.314731564104303,0.06785749901273669,-0.7833
0.3363037659607569,0.06948139756594723,-0.775548
0.35860594432233855,0.07099560019625595,-0.766073
0.38157427610663236,0.07238016219040816,-0.757077
0.40513297140327,0.07361912777779994,-0.750238
0.42920624030188326,0.07467938873442814,-0.744317
0.45369435923619744,0.07553421914453134,-0.741167
0.4785055825252401,0.07613734727335825,-0.743995
0.5035361976600861,0.07644688922307369,-0.741739
0.5286785031891597,0.07642096109584234,-0.710285
0.5538287866035349,0.07603483144722828,-0.649094
0.5788753575089852,0.07528889917149661,-0.582974
0.6037184923392355,0.07420590124175785,-0.522769
0.6282544785853613,0.0728404861723303,-0.465222
0.652395559509041,0.07125448257430406,-0.411369
0.6760460004866511,0.06952128699245691,-0.363492
0.6991260226651721,0.06769315457551667,-0.321875
0.7215598361342358,0.0658004012876307,-0.285241
0.7432836178114268,0.06385419616822169,-0.251447
0.7642375335569802,0.061872888353484146,-0.219375
0.7843856828870372,0.059865253517250194,-0.188289
0.8036881763750883,0.05784804521865389,-0.157821
0.8221210803652277,0.055828044660201914,-0.127605
0.8396724280295021,0.05383955674869262,-0.0984548
0.8563302525399592,0.05190611624576674,-0.0710047
0.8720985428392496,0.050036498825256404,-0.0452812
0.8869812878700245,0.048226316650245515,-0.0205655
0.9009944434028873,0.0464759686149992,0.00474864
0.914181887806999,0.044894751748154105,0.0248799
0.9265396321397089,0.04337735796372455,0.042458
0.9380995879422243,0.04192458505024077,0.0621011
0.9488098989600826,0.040552787672571644,0.0803427
0.9578528319498353,0.039374454013474613,0.0968359
0.9655634580941629,0.03835288580056084,0.110371
0.9722050476080305,0.03745936264674321,0.122826
0.9779690697386844,0.03667234426170657,0.133361
0.9830190711348145,0.03597348150925633,0.142765
0.9874348306494399,0.035354796504090624,0.151205
0.9907735756483028,0.034881707905685455,0.15745
0.9932945874037171,0.034520309701507434,0.161802
0.9952013019908812,0.03424467376432527,0.16459
0.9966413102878819,0.034034456486619125,0.166941
0.9977302916315974,0.033874499886315135,0.166694
0.9985520138176972,0.03375243824119539,0.168164
0.9991742888712489,0.0336598947716929,0.164151
0.9996449841040635,0.03358968938103579,0.172586
1.0,0.03353623754951274,0.140817
1.0,0.03353623754951274,0.140817
1.0,0.03328254079691095,0.140652
1.0,0.03302884404430917,0.168746
0.9999960110573491,0.032775546185972504,0.158149
0.9999960110573491,0.03252184943337072,0.174751
0.9999960110573491,0.032268152680768936,0.161654
0.999992022114698,0.032014455928167096,0.178616
0.999992022114698,0.03176075917556531,0.10184
0.9999880331720472,0.03150706242296358,0.0370326
0.9999880331720472,0.03150706242296358,0.0370326
0.9996250393908087,0.031511450259879614,0.164161
0.9991463662726922,0.03151663588532588,0.163002
0.9985121243911876,0.03152341708783252,0.177998
0.9976744464344838,0.03153139497313445,0.188375
0.9965655203775136,0.031540170646966625,0.197044
0.9950975894819559,0.031549345215063807,0.205251
0.9931589633535839,0.03155692420610068,0.213331
0.9905900842863584,0.03156051425448658,0.221717
0.9871915051477307,0.031551339686389346,0.230386
0.9826959667800856,0.0315158380967957,0.239314
0.9775582086456344,0.03144323934054799,0.24751
0.9716864850634044,0.03131838543557258,0.255154
0.9649332051553096,0.03111614604316837,0.261279
0.9570829660181975,0.030806205199187864,0.266543
0.9478844642650572,0.03034468453447048,0.269557
0.936998639770556,0.02967254769778177,0.271441
0.925251203663445,0.028812930556497363,0.271233
0.9127059790261395,0.027753467388399344,0.271606
0.8993310543174321,0.026446689775941112,0.267035
0.8851144627093697,0.024762558188700934,0.25495
0.8700322705460463,0.022805582924134316,0.241065
0.8540764999421606,0.020594910906965858,0.225753
0.8372351840697587,0.018152880216041167,0.209473
0.8195123118714922,0.015468321811937302,0.191582
0.800919850175314,0.012540437906124247,0.171757
0.7814737547518281,0.009381993115084974,0.14996
0.7611979592569398,0.0060049542667725,0.125305
0.7401283641745084,0.0024340528056228106,0.0974503
0.718312836816345,-0.0012796528024316411,0.067331
0.6958032334369129,-0.0050787217832168885,0.0356836
0.6726633771186273,-0.00889853326578724,0.00458461
0.6489650688292053,-0.012653723877411815,-0.0242439
0.6247920763643181,-0.01631996106791972,-0.0509183
0.6002401343475886,-0.019855759833740855,-0.0755043
0.5753930105746871,-0.023243169932945867,-0.0979561
0.5503584064971899,-0.02644988093006187,-0.118205
0.5252320567387204,-0.029467516045521808,-0.137908
